id,date,bitfinex,bitstamp,kraken,okcoin
1,2015-11-03 16:35:30.603967,395.28,393.65,,
2,2015-11-03 16:38:58.102347,395.18,392.82,,
3,2015-11-03 16:40:48.814202,396.48,393.25,,
4,2015-11-03 16:45:02.00455,396.42,393.29,,
5,2015-11-03 17:03:18.466828,402.75,398.89,,401.46
6,2015-11-04 14:13:51.331358,480.00,481.90,,482.51
7,2015-11-04 14:27:44.322934,477.92,474.10,483.84,477.99
8,2015-11-04 14:55:48.016605,492.21,492.00,484.21,493.00
9,2015-11-04 15:03:31.987978,487.00,488.07,484.21,487.58
10,2015-11-04 15:05:13.423321,480.00,482.01,482.00,481.84
11,2015-11-04 16:42:57.990187,481.33,484.93,489.99,483.60
12,2015-11-04 16:44:05.550695,480.00,482.62,489.99,485.43
13,2015-11-04 16:45:12.58306,485.00,483.00,489.99,484.86
14,2015-11-04 16:57:33.869789,483.99,485.00,,482.38
15,2015-11-04 17:06:57.547003,482.46,481.12,,481.51
16,2015-11-04 17:07:18.187126,482.46,481.12,,481.50
17,2015-11-04 17:07:33.259788,482.48,481.00,,481.50
18,2015-11-04 17:09:53.342205,482.49,481.12,,481.50
19,2015-11-04 17:10:08.538583,482.49,481.12,,481.50
20,2015-11-04 17:11:14.177298,482.00,481.01,,482.79
21,2015-11-04 17:13:38.514951,481.14,484.32,,482.48
22,2015-11-04 22:00:10.039084,423.00,419.50,,420.33
23,2015-11-04 23:00:04.07754,392.99,397.00,,392.95
24,2015-11-05 11:00:07.452348,391.99,391.78,,402.81
25,2015-11-05 12:00:08.102765,387.46,389.97,,394.93
26,2015-11-05 14:00:36.591402,405.88,405.00,,405.50
27,2015-11-05 15:00:04.500726,397.00,398.05,,398.00
28,2015-11-05 16:00:10.846172,389.40,388.82,,388.86
29,2015-11-05 17:00:08.180176,396.73,397.73,,397.61
30,2015-11-05 18:00:04.495358,398.00,397.00,,396.00
31,2015-11-05 19:00:09.177545,403.81,404.46,,404.58
32,2015-11-05 20:00:04.459463,406.00,404.96,,407.51
33,2015-11-05 21:00:06.999435,408.02,406.04,,407.82
34,2015-11-06 10:00:07.692193,368.96,370.13,,372.34
35,2015-11-06 11:00:05.485098,368.08,368.19,,368.35
36,2015-11-06 12:00:04.690557,372.20,371.67,,373.04
37,2015-11-06 13:00:04.644614,377.14,377.50,,378.77
38,2015-11-06 14:00:25.557553,376.50,374.65,,375.48
39,2015-11-06 15:00:10.284285,375.41,375.80,,374.48
40,2015-11-06 16:00:04.398509,386.12,384.43,,385.99
41,2015-11-06 17:00:09.31246,390.82,390.70,,392.00
42,2015-11-06 18:00:07.35637,391.47,390.01,,393.39
43,2015-11-06 22:00:05.142447,370.54,371.85,,367.78
44,2015-11-07 10:00:16.440503,388.67,388.00,,390.95
45,2015-11-07 11:00:05.803093,392.21,391.92,,393.01
46,2015-11-07 13:00:05.737941,389.53,388.10,,389.36
47,2015-11-08 09:00:05.793691,383.33,383.99,,384.53
48,2015-11-08 10:00:03.707356,383.98,381.79,,384.60
49,2015-11-08 11:00:04.029618,384.85,382.71,,386.35
50,2015-11-08 12:00:05.469635,383.84,384.91,,386.88
51,2015-11-08 17:00:09.363594,384.49,384.92,,386.70
52,2015-11-08 18:00:03.070681,381.95,380.39,,383.89
53,2015-11-08 19:00:08.9974,382.01,381.02,,382.90
54,2015-11-08 20:00:05.075837,381.50,381.00,,383.70
55,2015-11-08 21:00:08.929849,381.62,379.99,,382.12
56,2015-11-08 22:00:03.682602,371.76,371.89,,371.92
57,2015-11-08 23:00:03.672934,374.50,373.44,,374.71
58,2015-11-09 11:00:05.280674,373.00,372.00,,372.10
59,2015-11-09 12:00:12.922998,383.97,382.67,,382.34
60,2015-11-09 13:00:02.820502,385.30,384.00,,383.84
61,2015-11-09 14:00:27.822459,383.28,382.08,,381.68
62,2015-11-09 15:00:14.705758,386.19,384.26,,383.72
63,2015-11-09 16:00:03.775331,386.50,384.47,,384.35
64,2015-11-09 17:00:09.525752,378.30,376.65,,377.02
65,2015-11-09 18:00:03.280314,376.31,375.84,,375.93
66,2015-11-09 19:00:02.776473,381.19,379.99,,379.56
67,2015-11-09 20:00:03.296475,381.82,379.38,,382.01
68,2015-11-09 21:00:04.546757,380.89,378.41,,380.58
69,2015-11-09 22:00:04.326846,381.36,379.43,,381.00
70,2015-11-09 23:00:03.119591,382.68,380.83,,384.86
71,2015-11-10 00:00:02.97593,381.01,377.90,,382.23
72,2015-11-10 09:00:09.218344,378.59,377.41,,381.37
73,2015-11-10 10:00:04.314101,377.10,375.98,,379.61
74,2015-11-10 11:00:04.238297,378.62,374.89,,382.23
75,2015-11-10 12:00:05.372595,375.50,373.24,,378.91
76,2015-11-10 13:00:03.298107,374.01,373.17,,375.47
77,2015-11-10 14:00:04.73801,361.49,363.22,,361.52
78,2015-11-10 15:00:04.162676,355.38,357.83,,353.66
79,2015-11-10 16:00:04.32208,354.00,353.94,,351.04
80,2015-11-10 17:00:03.348005,358.16,356.57,,357.01
81,2015-11-10 18:00:06.235768,355.55,353.39,,353.62
82,2015-11-10 19:00:03.814459,354.45,351.90,,353.83
83,2015-11-10 20:00:04.198016,355.34,352.40,,354.14
84,2015-11-10 21:00:03.019434,352.72,349.61,,350.53
85,2015-11-10 22:00:03.897863,338.94,332.07,,336.57
86,2015-11-10 23:00:03.530662,335.98,332.95,,332.66
87,2015-11-11 00:00:08.998522,340.20,336.73,,339.13
88,2015-11-11 01:00:07.466278,337.50,333.80,,334.61
89,2015-11-11 10:00:15.008638,328.56,325.83,,325.06
90,2015-11-11 11:00:05.899305,318.27,316.09,,316.64
91,2015-11-11 12:00:02.785019,321.25,318.50,,319.51
92,2015-11-11 13:00:03.961729,325.96,322.87,,326.02
93,2015-11-11 14:00:23.242561,320.52,320.53,,320.00
